LINIENNR_EFA;VERKEHRSMITTEL
E;Bus
E220;Bus
O7;Bus
HEX;ExpressBus
Lufthansa Express Bus;ExpressBus
X200;ExpressBus
X201;ExpressBus
X202;ExpressBus
X203;ExpressBus
X204;ExpressBus
X205;ExpressBus
X206;ExpressBus
X30;ExpressBus
X320;ExpressBus
X35;ExpressBus
X36;ExpressBus
X400;ExpressBus
X660;ExpressBus
X732;ExpressBus
X80;ExpressBus
X800;ExpressBus
X850;ExpressBus
X900;ExpressBus
X910;ExpressBus
X920;ExpressBus
X970;ExpressBus
50;MetroBus
51;MetroBus
52;MetroBus
53;MetroBus
54;MetroBus
55;MetroBus
56;MetroBus
57;MetroBus
58;MetroBus
59;MetroBus
60;MetroBus
62;MetroBus
63;MetroBus
68;MetroBus
91;MetroBus
92;MetroBus
93;MetroBus
94;MetroBus
97;MetroBus
N272;NachtBus
N40;NachtBus
N41;NachtBus
N43;NachtBus
N44;NachtBus
N45;NachtBus
N71;NachtBus
N72;NachtBus
N74;NachtBus
N75;NachtBus
N76;NachtBus
N77;NachtBus
N78;NachtBus
N79;NachtBus
N80;NachtBus
N81;NachtBus
N17;NachtTram
N19;NachtTram
N20;NachtTram
N27;NachtTram
210;RegionalBus
211;RegionalBus
211V;RegionalBus
211W;RegionalBus
212;RegionalBus
214;RegionalBus
214V;RegionalBus
215;RegionalBus
216;RegionalBus
216V;RegionalBus
217;RegionalBus
218;RegionalBus
219;RegionalBus
219V;RegionalBus
220;RegionalBus
220V;RegionalBus
221;RegionalBus
222;RegionalBus
222V;RegionalBus
223;RegionalBus
224;RegionalBus
225;RegionalBus
226;RegionalBus
227;RegionalBus
229;RegionalBus
230;RegionalBus
230V;RegionalBus
231;RegionalBus
231V;RegionalBus
232;RegionalBus
233;RegionalBus
234;RegionalBus
234V;RegionalBus
236;RegionalBus
240;RegionalBus
240V;RegionalBus
241;RegionalBus
242;RegionalBus
242V;RegionalBus
243;RegionalBus
244;RegionalBus
258;RegionalBus
259;RegionalBus
260;RegionalBus
260V;RegionalBus
261;RegionalBus
262;RegionalBus
263;RegionalBus
263V;RegionalBus
264;RegionalBus
265;RegionalBus
266;RegionalBus
267;RegionalBus
267V;RegionalBus
268;RegionalBus
269;RegionalBus
270;RegionalBus
270V;RegionalBus
271;RegionalBus
271V;RegionalBus
275;RegionalBus
276;RegionalBus
277;RegionalBus
278;RegionalBus
291;RegionalBus
292;RegionalBus
293;RegionalBus
294;RegionalBus
295;RegionalBus
299;RegionalBus
313;RegionalBus
336;RegionalBus
337;RegionalBus
338;RegionalBus
339;RegionalBus
340;RegionalBus
342;RegionalBus
343;RegionalBus
344;RegionalBus
345;RegionalBus
346;RegionalBus
347;RegionalBus
348;RegionalBus
349;RegionalBus
352;RegionalBus
353;RegionalBus
354;RegionalBus
355;RegionalBus
356;RegionalBus
357;RegionalBus
358;RegionalBus
359;RegionalBus
360;RegionalBus
361;RegionalBus
362;RegionalBus
363;RegionalBus
364;RegionalBus
366;RegionalBus
367;RegionalBus
368;RegionalBus
369;RegionalBus
370;RegionalBus
370V;RegionalBus
372;RegionalBus
373;RegionalBus
373V;RegionalBus
374;RegionalBus
375;RegionalBus
375V;RegionalBus
376;RegionalBus
377;RegionalBus
377V;RegionalBus
378;RegionalBus
379;RegionalBus
379V;RegionalBus
381;RegionalBus
381V;RegionalBus
390;RegionalBus
391;RegionalBus
392;RegionalBus
395;RegionalBus
432;RegionalBus
434;RegionalBus
435;RegionalBus
436;RegionalBus
437;RegionalBus
439;RegionalBus
440;RegionalBus
442;RegionalBus
443;RegionalBus
444;RegionalBus
444V;RegionalBus
445;RegionalBus
446;RegionalBus
446V;RegionalBus
447;RegionalBus
448;RegionalBus
451;RegionalBus
452;RegionalBus
453;RegionalBus
454;RegionalBus
455;RegionalBus
456;RegionalBus
459;RegionalBus
460;RegionalBus
461;RegionalBus
462;RegionalBus
463;RegionalBus
463V;RegionalBus
464;RegionalBus
465;RegionalBus
465V;RegionalBus
466;RegionalBus
466V;RegionalBus
469;RegionalBus
469V;RegionalBus
481;RegionalBus
482;RegionalBus
488;RegionalBus
489;RegionalBus
490;RegionalBus
491;RegionalBus
492;RegionalBus
493;RegionalBus
494;RegionalBus
495;RegionalBus
496;RegionalBus
497;RegionalBus
498;RegionalBus
501;RegionalBus
501V;RegionalBus
502;RegionalBus
502V;RegionalBus
505;RegionalBus
505V;RegionalBus
507;RegionalBus
511;RegionalBus
511V;RegionalBus
512;RegionalBus
512V;RegionalBus
515;RegionalBus
520;RegionalBus
530;RegionalBus
531;RegionalBus
531V;RegionalBus
540;RegionalBus
540V;RegionalBus
550;RegionalBus
560;RegionalBus
561;RegionalBus
562;RegionalBus
562V;RegionalBus
564;RegionalBus
564V;RegionalBus
565;RegionalBus
567;RegionalBus
567V;RegionalBus
568;RegionalBus
568V;RegionalBus
569;RegionalBus
569V;RegionalBus
570;RegionalBus
580;RegionalBus
601;RegionalBus
601V;RegionalBus
602;RegionalBus
602V;RegionalBus
603;RegionalBus
614;RegionalBus
615;RegionalBus
616;RegionalBus
617;RegionalBus
618;RegionalBus
619;RegionalBus
620;RegionalBus
620V;RegionalBus
621;RegionalBus
621V;RegionalBus
622;RegionalBus
622V;RegionalBus
623;RegionalBus
624;RegionalBus
630;RegionalBus
631;RegionalBus
633;RegionalBus
633V;RegionalBus
634;RegionalBus
634V;RegionalBus
635;RegionalBus
637;RegionalBus
638;RegionalBus
639;RegionalBus
640;RegionalBus
641;RegionalBus
650;RegionalBus
651;RegionalBus
680;RegionalBus
681;RegionalBus
681V;RegionalBus
682;RegionalBus
682V;RegionalBus
683;RegionalBus
683V;RegionalBus
684;RegionalBus
687;RegionalBus
688;RegionalBus
690;RegionalBus
691;RegionalBus
691V;RegionalBus
692;RegionalBus
693;RegionalBus
694;RegionalBus
695;RegionalBus
698;RegionalBus
701;RegionalBus
702;RegionalBus
703;RegionalBus
704;RegionalBus
705;RegionalBus
706;RegionalBus
707;RegionalBus
708;RegionalBus
710;RegionalBus
711;RegionalBus
712;RegionalBus
715;RegionalBus
716;RegionalBus
717;RegionalBus
718;RegionalBus
